"","Date","Day","Country","Type","Value","TotalValue"
"104","3/29/2014",7,"Nigeria","Deaths",0,0
"105","3/29/2014",7,"Senegal","Cases",0,0
"106","3/29/2014",7,"Senegal","Deaths",0,0
"107","3/29/2014",7,"UnitedStates","Cases",0,0
"108","3/29/2014",7,"UnitedStates","Deaths",0,0
"109","3/29/2014",7,"Spain","Cases",0,0
"110","3/29/2014",7,"Spain","Deaths",0,0
"111","3/29/2014",7,"Mali","Cases",0,0
"112","3/29/2014",7,"Mali","Deaths",0,0
"113","3/31/2014",9,"Guinea","Cases",10,122
"114","3/31/2014",9,"Guinea","Deaths",10,80
"115","3/31/2014",9,"Liberia","Cases",0,8
"116","3/31/2014",9,"Liberia","Deaths",0,6
"117","3/31/2014",9,"SierraLeone","Cases",0,6
"118","3/31/2014",9,"SierraLeone","Deaths",0,5
"119","3/31/2014",9,"Nigeria","Cases",0,0
"120","3/31/2014",9,"Nigeria","Deaths",0,0
"121","3/31/2014",9,"Senegal","Cases",0,0
"122","3/31/2014",9,"Senegal","Deaths",0,0
"123","3/31/2014",9,"UnitedStates","Cases",0,0
"124","3/31/2014",9,"UnitedStates","Deaths",0,0
"125","3/31/2014",9,"Spain","Cases",0,0
"126","3/31/2014",9,"Spain","Deaths",0,0
"127","3/31/2014",9,"Mali","Cases",0,0
"128","3/31/2014",9,"Mali","Deaths",0,0
"129","4/1/2014",10,"Guinea","Cases",5,127
"130","4/1/2014",10,"Guinea","Deaths",3,83
"131","4/1/2014",10,"Liberia","Cases",0,8
"132","4/1/2014",10,"Liberia","Deaths",0,6
"133","4/1/2014",10,"SierraLeone","Cases",0,6
"134","4/1/2014",10,"SierraLeone","Deaths",0,5
"135","4/1/2014",10,"Nigeria","Cases",0,0
"136","4/1/2014",10,"Nigeria","Deaths",0,0
"137","4/1/2014",10,"Senegal","Cases",0,0
"138","4/1/2014",10,"Senegal","Deaths",0,0
"139","4/1/2014",10,"UnitedStates","Cases",0,0
"140","4/1/2014",10,"UnitedStates","Deaths",0,0
"141","4/1/2014",10,"Spain","Cases",0,0
"142","4/1/2014",10,"Spain","Deaths",0,0
"143","4/1/2014",10,"Mali","Cases",0,0
"144","4/1/2014",10,"Mali","Deaths",0,0
"145","4/4/2014",13,"Guinea","Cases",16,143
"146","4/4/2014",13,"Guinea","Deaths",3,86
"147","4/4/2014",13,"Liberia","Cases",10,18
"148","4/4/2014",13,"Liberia","Deaths",1,7
"149","4/4/2014",13,"SierraLeone","Cases",0,6
"150","4/4/2014",13,"SierraLeone","Deaths",0,5
"151","4/4/2014",13,"Nigeria","Cases",0,0
"152","4/4/2014",13,"Nigeria","Deaths",0,0
"153","4/4/2014",13,"Senegal","Cases",0,0
"154","4/4/2014",13,"Senegal","Deaths",0,0
"155","4/4/2014",13,"UnitedStates","Cases",0,0
"156","4/4/2014",13,"UnitedStates","Deaths",0,0
"157","4/4/2014",13,"Spain","Cases",0,0
"158","4/4/2014",13,"Spain","Deaths",0,0
"159","4/4/2014",13,"Mali","Cases",0,0
"160","4/4/2014",13,"Mali","Deaths",0,0
"161","4/7/2014",16,"Guinea","Cases",8,151
"162","4/7/2014",16,"Guinea","Deaths",9,95
"163","4/7/2014",16,"Liberia","Cases",3,21
"164","4/7/2014",16,"Liberia","Deaths",3,10
"165","4/7/2014",16,"SierraLeone","Cases",0,6
"166","4/7/2014",16,"SierraLeone","Deaths",0,5
"167","4/7/2014",16,"Nigeria","Cases",0,0
"168","4/7/2014",16,"Nigeria","Deaths",0,0
"169","4/7/2014",16,"Senegal","Cases",0,0
"170","4/7/2014",16,"Senegal","Deaths",0,0
"171","4/7/2014",16,"UnitedStates","Cases",0,0
"172","4/7/2014",16,"UnitedStates","Deaths",0,0
"173","4/7/2014",16,"Spain","Cases",0,0
"174","4/7/2014",16,"Spain","Deaths",0,0
"175","4/7/2014",16,"Mali","Cases",0,0
"176","4/7/2014",16,"Mali","Deaths",0,0
"177","4/9/2014",18,"Guinea","Cases",7,158
"178","4/9/2014",18,"Guinea","Deaths",6,101
"179","4/9/2014",18,"Liberia","Cases",4,25
"180","4/9/2014",18,"Liberia","Deaths",2,12
"181","4/9/2014",18,"SierraLeone","Cases",0,6
"182","4/9/2014",18,"SierraLeone","Deaths",0,5
"183","4/9/2014",18,"Nigeria","Cases",0,0
"184","4/9/2014",18,"Nigeria","Deaths",0,0
"185","4/9/2014",18,"Senegal","Cases",0,0
"186","4/9/2014",18,"Senegal","Deaths",0,0
"187","4/9/2014",18,"UnitedStates","Cases",0,0
"188","4/9/2014",18,"UnitedStates","Deaths",0,0
"189","4/9/2014",18,"Spain","Cases",0,0
"190","4/9/2014",18,"Spain","Deaths",0,0
"191","4/9/2014",18,"Mali","Cases",0,0
"192","4/9/2014",18,"Mali","Deaths",0,0
"193","4/11/2014",20,"Guinea","Cases",1,159
"194","4/11/2014",20,"Guinea","Deaths",5,106
"195","4/11/2014",20,"Liberia","Cases",1,26
"196","4/11/2014",20,"Liberia","Deaths",1,13
"197","4/11/2014",20,"SierraLeone","Cases",0,6
"198","4/11/2014",20,"SierraLeone","Deaths",0,5
"199","4/11/2014",20,"Nigeria","Cases",0,0
"200","4/11/2014",20,"Nigeria","Deaths",0,0
"201","4/11/2014",20,"Senegal","Cases",0,0
"202","4/11/2014",20,"Senegal","Deaths",0,0
"203","4/11/2014",20,"UnitedStates","Cases",0,0
"204","4/11/2014",20,"UnitedStates","Deaths",0,0
"205","4/11/2014",20,"Spain","Cases",0,0
"206","4/11/2014",20,"Spain","Deaths",0,0
"207","4/11/2014",20,"Mali","Cases",0,0
"208","4/11/2014",20,"Mali","Deaths",0,0
"209","4/14/2014",23,"Guinea","Cases",9,168
"210","4/14/2014",23,"Guinea","Deaths",2,108
"211","4/14/2014",23,"Liberia","Cases",0,26
"212","4/14/2014",23,"Liberia","Deaths",0,13
"213","4/14/2014",23,"SierraLeone","Cases",0,6
"214","4/14/2014",23,"SierraLeone","Deaths",0,5
"215","4/14/2014",23,"Nigeria","Cases",0,0
"216","4/14/2014",23,"Nigeria","Deaths",0,0
"217","4/14/2014",23,"Senegal","Cases",0,0
"218","4/14/2014",23,"Senegal","Deaths",0,0
"219","4/14/2014",23,"UnitedStates","Cases",0,0
"220","4/14/2014",23,"UnitedStates","Deaths",0,0
"221","4/14/2014",23,"Spain","Cases",0,0
"222","4/14/2014",23,"Spain","Deaths",0,0
"223","4/14/2014",23,"Mali","Cases",0,0
"224","4/14/2014",23,"Mali","Deaths",0,0
"225","4/15/2014",24,"Guinea","Cases",0,168
"226","4/15/2014",24,"Guinea","Deaths",0,108
"227","4/15/2014",24,"Liberia","Cases",0,26
"228","4/15/2014",24,"Liberia","Deaths",0,13
"229","4/15/2014",24,"SierraLeone","Cases",6,12
"230","4/15/2014",24,"SierraLeone","Deaths",0,5
"231","4/15/2014",24,"Nigeria","Cases",0,0
"232","4/15/2014",24,"Nigeria","Deaths",0,0
"233","4/15/2014",24,"Senegal","Cases",0,0
"234","4/15/2014",24,"Senegal","Deaths",0,0
"235","4/15/2014",24,"UnitedStates","Cases",0,0
"236","4/15/2014",24,"UnitedStates","Deaths",0,0
"237","4/15/2014",24,"Spain","Cases",0,0
"238","4/15/2014",24,"Spain","Deaths",0,0
"239","4/15/2014",24,"Mali","Cases",0,0
"240","4/15/2014",24,"Mali","Deaths",0,0
"241","4/16/2014",25,"Guinea","Cases",29,197
"242","4/16/2014",25,"Guinea","Deaths",14,122
"243","4/16/2014",25,"Liberia","Cases",1,27
"244","4/16/2014",25,"Liberia","Deaths",0,13
"245","4/16/2014",25,"SierraLeone","Cases",0,12
"246","4/16/2014",25,"SierraLeone","Deaths",0,5
"247","4/16/2014",25,"Nigeria","Cases",0,0
"248","4/16/2014",25,"Nigeria","Deaths",0,0
"249","4/16/2014",25,"Senegal","Cases",0,0
"250","4/16/2014",25,"Senegal","Deaths",0,0
"251","4/16/2014",25,"UnitedStates","Cases",0,0
"252","4/16/2014",25,"UnitedStates","Deaths",0,0
"253","4/16/2014",25,"Spain","Cases",0,0
"254","4/16/2014",25,"Spain","Deaths",0,0
"255","4/16/2014",25,"Mali","Cases",0,0
"256","4/16/2014",25,"Mali","Deaths",0,0
"257","4/17/2014",26,"Guinea","Cases",6,203
"258","4/17/2014",26,"Guinea","Deaths",7,129
"259","4/17/2014",26,"Liberia","Cases",0,27
"260","4/17/2014",26,"Liberia","Deaths",0,13
"261","4/17/2014",26,"SierraLeone","Cases",0,12
"262","4/17/2014",26,"SierraLeone","Deaths",0,5
"263","4/17/2014",26,"Nigeria","Cases",0,0
"264","4/17/2014",26,"Nigeria","Deaths",0,0
"265","4/17/2014",26,"Senegal","Cases",0,0
"266","4/17/2014",26,"Senegal","Deaths",0,0
"267","4/17/2014",26,"UnitedStates","Cases",0,0
"268","4/17/2014",26,"UnitedStates","Deaths",0,0
"269","4/17/2014",26,"Spain","Cases",0,0
"270","4/17/2014",26,"Spain","Deaths",0,0
"271","4/17/2014",26,"Mali","Cases",0,0
"272","4/17/2014",26,"Mali","Deaths",0,0
"273","4/20/2014",29,"Guinea","Cases",5,208
"274","4/20/2014",29,"Guinea","Deaths",7,136
"275","4/20/2014",29,"Liberia","Cases",0,27
"276","4/20/2014",29,"Liberia","Deaths",0,13
"277","4/20/2014",29,"SierraLeone","Cases",0,12
